filename,workflow_name,on_events,job_name,services,step_names
build-diary-server.yml,Build diary-server,"push (branches: main, tags: v*.*.*); workflow_dispatch (inputs: version/sponsor-env/tobe_deployed)",Sign Images & Attach SBOMs,,Install Cosign; Install Syft; Log in to GitHub Container Registry; Sign diary-server image; Generate SBOM for diary-server image; Upload SBOMs as artifacts; Attach SBOM attestation to diary-server image
build-diary-server.yml,Build diary-server,"push (branches: main, tags: v*.*.*); workflow_dispatch (inputs: version/sponsor-env/tobe_deployed)",Verify Image Signatures,,Install Cosign; Log in to GitHub Container Registry; Verify diary-server image signature
build-diary-server.yml,Build diary-server,"push (branches: main, tags: v*.*.*); workflow_dispatch (inputs: version/sponsor-env/tobe_deployed)",Trigger Service Deployment (async),,Trigger deploy-run-service workflow
build-diary-server.yml,Build diary-server,"push (branches: main, tags: v*.*.*); workflow_dispatch (inputs: version/sponsor-env/tobe_deployed)",Build Summary,,Generate summary
build-portal-server.yml,Build portal-server,"push (branches: main, tags: v*.*.*); workflow_dispatch (inputs: version/sponsor-env/tobe_deployed)",Build portal-server Image,,Free up disk space; Checkout code; Set up Docker Buildx; Log in to GitHub Container Registry; Determine tag and validate semver; Extract metadata; Build and push portal-server image
build-portal-server.yml,Build portal-server,"push (branches: main, tags: v*.*.*); workflow_dispatch (inputs: version/sponsor-env/tobe_deployed)",Sign Images & Attach SBOMs,,Install Cosign; Install Syft; Log in to GitHub Container Registry; Sign portal-server image; Generate SBOM for portal-server image; Upload SBOMs as artifacts; Attach SBOM attestation to portal-server image
build-portal-server.yml,Build portal-server,"push (branches: main, tags: v*.*.*); workflow_dispatch (inputs: version/sponsor-env/tobe_deployed)",Verify Image Signatures,,Install Cosign; Log in to GitHub Container Registry; Verify portal-server image signature
build-portal-server.yml,Build portal-server,"push (branches: main, tags: v*.*.*); workflow_dispatch (inputs: version/sponsor-env/tobe_deployed)",Trigger Service Deployment (async),,Trigger deploy-run-service workflow
build-portal-server.yml,Build portal-server,"push (branches: main, tags: v*.*.*); workflow_dispatch (inputs: version/sponsor-env/tobe_deployed)",Build Summary,,Generate summary
reset-db-gcp.yml,Reset DB in GCP,workflow_dispatch (inputs: sponsor/sponsor-env/debug),deploy,,Checkout; Authenticate to Google Cloud; List files; Configure Docker for Artifact Registry; Build and push deploy-db image; Consolidate schema; Copy schema to GCP; Pull Sponsor repo for seed data; Copy seed data to GCP; Deploy deploy-db job to Cloud Run; Execute deploy-db job
deploy-run-service.yml,Deploy cloud run service,workflow_dispatch (inputs: service-name/sponsor-env/image_path/version); workflow_call,deploy-cloud-run-service,,Validate service-name; Authenticate with Google Cloud; Translate ghcr.io path to Google Artifact Registry; Configure Docker for Artifact Registry; Validate image exists in Artifact Registry; Deploy to Cloud Run; Display authentication info
build-test.yml,Build and Test,"push (branches: main, release/**); pull_request (branches: main)",test-requirements-tools,,Checkout; Set up Python; Load version configuration; Install elspais; Validate requirement format and IDs; Generate traceability matrix; Upload build reports as artifacts
build-test.yml,Build and Test,"push (branches: main, release/**); pull_request (branches: main)",test-linear-cli-tools,,Checkout; Set up Node.js; Validate Linear API scripts
build-test.yml,Build and Test,"push (branches: main, release/**); pull_request (branches: main)",validate-documentation,,Checkout; Load version pinning; Install markdown linter; Lint markdown files; Check for broken internal links
pr-validation.yml,PR Validation - Requirements & Traceability,"pull_request (branches: main/develop/feature/**/release/**); push (branches: main/develop)",Detect Changes,,Checkout; Paths filter
pr-validation.yml,PR Validation - Requirements & Traceability,"pull_request (branches: main/develop/feature/**/release/**); push (branches: main/develop)",Validate PR Title (CUR),,Validate PR title
pr-validation.yml,PR Validation - Requirements & Traceability,"pull_request (branches: main/develop/feature/**/release/**); push (branches: main/develop)",Validate Commit Messages (CUR + REQ),,Checkout code; Validate PR commit messages
pr-validation.yml,PR Validation - Requirements & Traceability,"pull_request (branches: main/develop/feature/**/release/**); push (branches: main/develop)",Validate Merge Commit (Post-Merge),,Checkout code; Validate merge commit message; Create Linear ticket for non-compliant merge
pr-validation.yml,PR Validation - Requirements & Traceability,"pull_request (branches: main/develop/feature/**/release/**); push (branches: main/develop)",Validate Requirements Format & Traceability,,Checkout code; Set up Python; Load version configuration; Install elspais; Validate requirement format and IDs; Generate traceability matrix; Validate INDEX.md accuracy; Upload build reports as artifacts; Check for changed spec files; Comment on PR with validation results
pr-validation.yml,PR Validation - Requirements & Traceability,"pull_request (branches: main/develop/feature/**/release/**); push (branches: main/develop)",Validate Code Implementation Headers,,Checkout code; Check implementation files have requirement headers
pr-validation.yml,PR Validation - Requirements & Traceability,"pull_request (branches: main/develop/feature/**/release/**); push (branches: main/develop)",Validate Database Migration Headers,,Checkout code; Validate migration file headers
pr-validation.yml,PR Validation - Requirements & Traceability,"pull_request (branches: main/develop/feature/**/release/**); push (branches: main/develop)",Security - Check for Secrets,,Checkout code; Install gitleaks; Scan for secrets with gitleaks; Check gitleaks results
pr-validation.yml,PR Validation - Requirements & Traceability,"pull_request (branches: main/develop/feature/**/release/**); push (branches: main/develop)",FDA Compliance - Audit Trail Verification,,Checkout code; Verify audit trail requirements
pr-validation.yml,PR Validation - Requirements & Traceability,"pull_request (branches: main/develop/feature/**/release/**); push (branches: main/develop)",Test Git Hooks,,Checkout code; Install dependencies; Run plugin structure tests; Run git hook tests; Upload test results
pr-validation.yml,PR Validation - Requirements & Traceability,"pull_request (branches: main/develop/feature/**/release/**); push (branches: main/develop)",Requirement Compliance Check,,Checkout code; Set up Python; Run compliance check; Comment on PR with compliance results
pr-validation.yml,PR Validation - Requirements & Traceability,"pull_request (branches: main/develop/feature/**/release/**); push (branches: main/develop)",Validation Summary,,Check all validations passed
